Time;EMMcp16
5.62321;7.56024
5.63015;7.56427
5.63709;7.56822
5.64404;7.57209
5.65098;7.57589
5.65793;7.57962
5.66487;7.58328
5.67182;7.58685
5.67876;7.59034
5.68571;7.59375
5.69265;7.59707
5.69959;7.60028
5.70654;7.60339
5.71348;7.60638
5.72043;7.60925
5.72737;7.61198
5.73432;7.61459
5.74126;7.61709
5.74821;7.6195
5.75515;7.62182
5.76209;7.62405
5.76904;7.62621
5.77598;7.6283
5.78293;7.63031
5.78987;7.63224
5.79683;7.6341
5.80377;7.63589
5.81072;7.63764
5.81766;7.63935
5.82461;7.64103
5.83155;7.64269
5.8385;7.64434
5.84544;7.64598
5.85238;7.64759
5.85933;7.64919
5.86627;7.65079
5.87322;7.65238
5.88016;7.65397
5.88711;7.65556
5.89405;7.65715
5.901;7.65875
5.90794;7.66034
5.91488;7.66194
5.92183;7.66354
5.92877;7.66514
5.93572;7.66673
5.94266;7.66829
5.94961;7.6698
5.95655;7.67123
5.9635;7.67259
5.97044;7.67385
5.97738;7.67503
5.98433;7.67612
5.99127;7.67716
5.99822;7.67818
6.00516;7.6792
6.01211;7.68024
6.01905;7.68133
6.02601;7.68249
6.03295;7.68374
6.0399;7.68508
6.04684;7.68653
6.05378;7.68809
6.06073;7.68975
6.06767;7.69149
6.07462;7.69332
6.08156;7.69521
6.08851;7.69716
6.09545;7.69916
6.1024;7.70122
6.10934;7.70331
6.11628;7.70543
6.12323;7.70756
6.13017;7.7097
6.13712;7.71183
6.14406;7.71397
6.15101;7.71611
6.15795;7.71826
6.1649;7.72043
6.17184;7.72262
6.17878;7.72484
6.18573;7.7271
6.19267;7.7294
6.19962;7.73174
6.20656;7.73412
6.21351;7.73653
6.22045;7.73899
6.2274;7.74149
6.23434;7.74403
6.24128;7.74661
6.24823;7.74923
6.25519;7.75189
6.26213;7.7546
6.26907;7.75738
6.27602;7.76023
6.28296;7.76315
6.28991;7.76615
6.29685;7.76922
6.3038;7.77237
6.31074;7.77558
6.31769;7.77885
6.32463;7.78219
6.33157;7.7856
6.33852;7.78908
6.34546;7.79262
6.35241;7.79623
6.35935;7.7999
6.3663;7.80364
6.37324;7.80743
6.38019;7.81128
6.38713;7.81518
6.39407;7.81912
6.40102;7.8231
6.40796;7.82709
6.41491;7.83108
6.42185;7.83502
6.4288;7.83891
6.43574;7.84271
6.44269;7.8464
6.44963;7.84995
6.45657;7.85334
6.46352;7.85653
6.47047;7.85952
6.47742;7.86228
6.48436;7.8648
6.49131;7.86708
6.49825;7.86914
6.5052;7.87099
6.51214;7.87264
6.51909;7.87411
6.52603;7.87542
6.53297;7.8766
6.53992;7.87766
6.54686;7.87862
6.55381;7.87951
6.56075;7.88033
6.5677;7.88109
6.57464;7.88181
6.58159;7.88249
6.58853;7.88312
6.59547;7.88372
6.60242;7.88428
6.60936;7.88481
6.61631;7.8853
6.62325;7.88577
6.6302;7.88621
6.63714;7.88665
6.64409;7.88707
6.65103;7.88751
6.65797;7.88797
6.66492;7.88848
6.67186;7.88904
6.67882;7.88966
6.68576;7.89036
6.69271;7.89114
6.69965;7.892
6.7066;7.89291
6.71354;7.89385
6.72049;7.89481
6.72743;7.89577
6.73438;7.89671
6.74132;7.89763
6.74826;7.89852
6.75521;7.89935
6.76215;7.90012
6.7691;7.90082
6.77604;7.90146
6.78299;7.90205
6.78993;7.90262
6.79688;7.90316
6.80382;7.90367
6.81076;7.90417
6.81771;7.90442
6.82465;7.90466
6.8316;7.90489
6.83854;7.90512
6.84549;7.90535
